nome,titulo,faixa_etaria,budget_total,expectativa_alcance,canal_marketing,roi,cpc,numero_conversoes
Campanha_4635,Filme_1460,14,17351.4,834979,LinkedIn,136467.57,7.21,116346
Campanha_4035,Filme_176,0,28642.46,564855,Facebook,190334.77,9.72,46496
Campanha_8601,Filme_6368,18,23788.65,292687,YouTube,14671.3,3.67,16477
Campanha_5215,Filme_7701,12,19532.29,803273,Instagram,103709.89,2.78,150431
Campanha_9051,Filme_8010,12,44117.7,820010,Facebook,421982.15,6.03,122552
Campanha_4364,Filme_3467,0,33485.89,156307,YouTube,56649.87,9.13,8311
Campanha_1427,Filme_4925,14,2514.78,899011,Instagram,11188.93,0.31,80059
Campanha_8603,Filme_3209,16,4479.97,157130,Facebook,40629.66,3.61,11548
Campanha_3124,Filme_2489,12,14652.69,270011,Google Ads,18543.04,6.26,13232
Campanha_6673,Filme_7729,14,32732.44,540269,Facebook,243351.5,4.53,100678
Campanha_2730,Filme_703,12,22664.7,266013,Twitter,89367.18,9.13,37683
Campanha_5076,Filme_2446,0,15380.03,618122,Twitter,85276.41,7.43,45442
Campanha_7588,Filme_5359,0,28433.35,419233,YouTube,180047.77,3.22,78196
Campanha_5863,Filme_7190,14,47143.84,674993,Instagram,450316.86,4.37,111654
Campanha_1812,Filme_1802,16,5443.96,949022,Facebook,33669.48,1.94,133478
Campanha_4638,Filme_4355,14,34877.76,719810,YouTube,196760.98,3.14,142392
Campanha_2727,Filme_3238,18,41059.93,616391,YouTube,281687.43,3.57,103871
Campanha_8446,Filme_3086,14,41488.05,747439,LinkedIn,127846.35,7.24,106396
Campanha_5884,Filme_3838,10,20260.84,841335,LinkedIn,160797.72,0.45,31934
Campanha_1950,Filme_2300,18,24899.33,357209,YouTube,179054.83,3.17,37265
Campanha_4709,Filme_472,16,27119.22,764892,LinkedIn,204379.77,1.49,138184
Campanha_2309,Filme_5534,0,43284.56,702207,Facebook,184255.67,9.78,49096
Campanha_85,Filme_8878,12,19640.82,248809,Instagram,128260.71,3.6,3880
Campanha_3714,Filme_115,18,17200.26,130564,LinkedIn,134210.49,8.37,14599
Campanha_7903,Filme_1043,14,36692.33,129487,LinkedIn,312939.33,9.89,21057
Campanha_2177,Filme_3318,10,35046.7,970069,LinkedIn,259574.3,4.68,14796
Campanha_5762,Filme_1277,14,19783.44,81213,Instagram,94402.34,8.42,14585
Campanha_142,Filme_5587,18,48680.53,876943,Facebook,217956.35,6.76,74696
Campanha_1328,Filme_3580,14,10882.79,314163,Google Ads,55640.57,1.39,31130
Campanha_5951,Filme_3949,0,44459.9,189126,YouTube,106018.53,0.81,11572
Campanha_1466,Filme_8803,10,40847.2,469473,Google Ads,366913.41,3.59,19172
Campanha_4321,Filme_6323,16,21471.55,250318,Instagram,113705.0,9.8,23830
Campanha_7725,Filme_5658,14,34932.63,737325,Instagram,343660.87,6.56,20696
Campanha_4934,Filme_4679,14,36805.81,732430,Facebook,65398.33,7.08,43579
Campanha_6843,Filme_2055,16,3666.1,799734,Google Ads,5332.6,2.53,64878
Campanha_9480,Filme_3254,10,39579.28,621602,YouTube,229716.29,7.75,9298
Campanha_2924,Filme_9695,14,46020.67,498133,Google Ads,259301.0,6.59,82128
Campanha_3614,Filme_2493,0,12214.58,50296,Google Ads,48645.17,2.56,6494
Campanha_3102,Filme_4482,14,41733.71,837057,Twitter,334107.92,1.25,104915
Campanha_2886,Filme_8002,14,3608.79,120269,Facebook,3330.27,5.79,15079
Campanha_919,Filme_3031,12,27762.54,534468,LinkedIn,134115.06,2.92,14405
Campanha_9733,Filme_6939,18,8345.22,163245,LinkedIn,9183.43,6.69,6653
Campanha_1565,Filme_8825,18,28460.46,141795,Google Ads,116022.25,6.55,22194
Campanha_2890,Filme_2259,16,13243.91,81775,Google Ads,55975.47,1.36,9144
Campanha_9233,Filme_1497,16,39597.5,492521,YouTube,38398.98,8.56,21709
Campanha_5065,Filme_4191,14,7107.14,141332,Facebook,36655.75,9.91,1545
Campanha_5507,Filme_2751,10,32710.2,945712,YouTube,90833.26,5.54,106699
Campanha_2974,Filme_3161,16,29606.2,29415,YouTube,220142.53,0.91,1558
Campanha_3282,Filme_1607,14,18684.18,622425,Facebook,172158.01,8.48,93808
Campanha_5517,Filme_7072,16,46982.44,775790,YouTube,295105.74,9.59,67134
Campanha_8812,Filme_5055,10,35383.61,389737,Twitter,125397.0,3.53,38144
Campanha_2252,Filme_2966,16,39219.45,136884,Facebook,32734.03,0.2,26716
Campanha_4526,Filme_1328,0,18925.96,981738,Twitter,177464.68,8.83,74603
Campanha_53,Filme_9318,18,39193.78,418359,Twitter,137361.48,2.32,31728
Campanha_654,Filme_9683,12,41130.71,570443,Google Ads,67230.63,3.2,68045
Campanha_34,Filme_5600,14,41022.54,583271,Google Ads,354689.34,4.09,44890
Campanha_1522,Filme_1225,16,29747.23,641446,Twitter,270457.69,2.24,106158
Campanha_4483,Filme_9177,14,49746.16,687325,Twitter,242260.2,6.71,134675
Campanha_2727,Filme_3412,16,23126.52,701686,YouTube,149089.26,5.22,124705
Campanha_3115,Filme_1736,16,47893.14,187319,Facebook,349739.26,1.55,28801
Campanha_9914,Filme_9122,16,47578.32,802447,Facebook,228918.18,0.69,82073
Campanha_258,Filme_642,10,25934.27,922408,Twitter,41084.19,6.67,42741
Campanha_4338,Filme_4144,18,24028.0,896798,Twitter,174026.57,6.12,133499
Campanha_7191,Filme_6560,12,36613.43,393658,LinkedIn,20573.37,7.61,76405
Campanha_700,Filme_6523,10,2443.46,209000,Facebook,2676.67,1.55,36907
Campanha_6980,Filme_3264,0,43512.24,192339,YouTube,61159.37,4.44,8676
Campanha_1971,Filme_360,16,3564.68,312519,LinkedIn,23911.09,9.29,23006
Campanha_14,Filme_4410,14,46669.48,864784,Facebook,421293.07,6.3,164997
Campanha_2716,Filme_2212,10,15352.32,283460,YouTube,103401.59,1.21,34419
Campanha_9699,Filme_6671,18,28924.59,571779,Twitter,262573.39,8.85,34632
Campanha_1606,Filme_6250,18,9953.91,535038,Facebook,16311.32,9.11,72260
Campanha_4264,Filme_5328,12,24034.75,94935,Twitter,31291.07,8.81,5155
Campanha_1987,Filme_1275,0,29849.04,32633,Instagram,183129.91,0.55,952
Campanha_5368,Filme_7563,18,34793.71,28561,LinkedIn,235182.77,6.82,3913
Campanha_5358,Filme_1884,12,22616.91,326823,LinkedIn,132887.17,1.74,11259
Campanha_6928,Filme_3598,18,5962.69,971166,LinkedIn,47612.29,4.11,122297
Campanha_3830,Filme_598,18,45218.29,404639,Google Ads,134454.24,9.53,28413
Campanha_9309,Filme_3117,0,32554.26,421013,Twitter,205613.06,9.24,64081
Campanha_8000,Filme_1451,10,15219.45,284139,Google Ads,90490.18,8.17,24373
Campanha_5567,Filme_8603,14,6460.28,317416,LinkedIn,41665.28,7.71,25039
Campanha_5385,Filme_1774,18,38274.71,319535,Twitter,211056.33,4.92,26901
Campanha_2372,Filme_8103,12,15736.46,779587,YouTube,65956.66,2.74,86398
Campanha_5845,Filme_3531,16,24104.92,851282,Twitter,135668.33,0.21,75264
Campanha_3435,Filme_8691,12,5071.33,159105,Twitter,32391.53,6.54,22169
Campanha_7688,Filme_7410,0,49482.59,458445,LinkedIn,407494.79,9.04,74008
Campanha_8067,Filme_8867,0,10938.0,68960,YouTube,82913.43,3.21,7620
Campanha_5393,Filme_2841,0,31356.22,587513,Twitter,56371.21,5.34,95669
Campanha_6681,Filme_1205,16,12621.2,658417,Instagram,94265.41,1.46,119976
Campanha_9619,Filme_7060,16,2494.36,578842,Twitter,4942.83,0.65,26554
Campanha_635,Filme_3556,0,15624.19,263372,YouTube,135539.15,3.58,44527
Campanha_6291,Filme_1231,16,46926.03,387845,Google Ads,203678.21,6.83,63331
Campanha_7306,Filme_9485,10,35039.71,995886,Twitter,299126.58,1.22,21677
Campanha_3883,Filme_6214,10,25187.93,537624,YouTube,26271.94,3.35,15235
Campanha_2191,Filme_1538,16,37845.15,454915,Twitter,144462.63,2.91,37889
Campanha_5887,Filme_9917,0,32396.75,858153,LinkedIn,186057.23,6.09,163907
Campanha_138,Filme_5189,0,3525.31,501408,LinkedIn,10978.19,6.51,27571
Campanha_4016,Filme_9048,0,28592.64,387029,Instagram,281956.57,2.92,5291
Campanha_2960,Filme_4327,12,35464.72,651615,Google Ads,331866.25,6.47,48650
Campanha_1562,Filme_4048,16,11138.13,495463,Facebook,88783.6,7.48,5104
Campanha_7064,Filme_6791,12,15918.13,112398,Facebook,67690.13,5.09,10640
Campanha_691,Filme_1239,14,46693.71,743774,Facebook,375598.62,0.89,34752
Campanha_1055,Filme_219,18,43155.25,494481,Instagram,201442.73,8.0,96038
Campanha_5906,Filme_917,16,41898.7,872102,YouTube,126063.34,5.34,86543
Campanha_4109,Filme_892,16,29827.11,123308,Twitter,183092.63,8.2,13738
Campanha_2173,Filme_8136,14,43234.45,238518,Facebook,272197.86,1.14,13615
Campanha_4369,Filme_5817,10,13536.89,883171,YouTube,132615.83,5.12,129198
Campanha_3335,Filme_4237,14,42684.44,387385,Instagram,236659.72,7.31,22290
Campanha_5490,Filme_1714,10,6132.19,822388,LinkedIn,55538.98,4.37,128580
Campanha_9257,Filme_1881,0,24684.97,14824,Twitter,239041.34,8.5,343
Campanha_7505,Filme_5060,12,27365.71,115010,Twitter,136526.68,7.06,19559
Campanha_896,Filme_7035,12,44237.76,272054,Google Ads,85070.69,5.49,37986
Campanha_6205,Filme_5727,0,24439.73,175387,Facebook,84532.6,1.17,19939
Campanha_7474,Filme_7695,16,26326.93,146534,Twitter,241639.23,4.2,13652
Campanha_8017,Filme_9093,10,14432.24,23743,Google Ads,59677.67,4.53,4073
Campanha_5420,Filme_6104,16,44055.44,175322,Instagram,267728.08,5.36,17132
Campanha_7779,Filme_1475,16,16515.53,71199,Google Ads,24755.63,1.92,1244
Campanha_7078,Filme_1424,14,15559.25,186667,YouTube,35871.07,7.5,11492
Campanha_680,Filme_9898,14,24415.98,781186,Google Ads,131762.18,9.15,10673
Campanha_3809,Filme_225,0,13422.46,459792,Instagram,47355.3,9.59,55554
Campanha_1908,Filme_1842,10,7026.83,486894,Facebook,43768.9,2.97,9958
Campanha_8798,Filme_7233,16,46542.97,316911,Instagram,245076.54,0.26,48372
Campanha_3778,Filme_5526,18,36731.34,925133,Instagram,23996.65,4.91,10919
Campanha_5137,Filme_8255,16,22792.73,402035,Twitter,108210.28,5.49,17762
Campanha_3950,Filme_443,16,3443.96,273725,Facebook,10553.9,1.19,25361
Campanha_5001,Filme_820,12,23486.18,67055,Google Ads,118716.04,4.26,9885
Campanha_8832,Filme_967,12,9399.62,263973,YouTube,10936.08,7.94,13512
Campanha_9926,Filme_4774,16,34619.07,796726,Google Ads,153700.84,6.93,63473
Campanha_6996,Filme_2233,14,20210.18,826114,Twitter,57647.13,9.27,62380
Campanha_5941,Filme_7264,18,25455.72,857270,LinkedIn,195603.41,9.07,74589
Campanha_3564,Filme_4237,16,44726.98,627568,YouTube,140417.19,1.27,121252
Campanha_6071,Filme_1595,12,9574.23,227599,Facebook,15398.01,2.89,36139
Campanha_5243,Filme_457,12,37640.36,579094,Google Ads,154199.1,1.79,21030
Campanha_7289,Filme_7063,18,45725.26,400965,LinkedIn,333358.96,6.6,61578
Campanha_1041,Filme_8132,16,46236.01,235425,Instagram,177076.82,2.69,28115
Campanha_4655,Filme_7603,12,39955.15,962858,LinkedIn,188345.37,0.63,121193
Campanha_5522,Filme_8505,14,49826.02,442557,Facebook,286499.65,4.88,30273
Campanha_8645,Filme_8652,12,7852.6,258797,Twitter,17437.25,6.05,26412
Campanha_3096,Filme_3346,16,17728.54,320890,Google Ads,82844.22,3.03,44779
Campanha_6241,Filme_1984,0,41792.15,570773,Google Ads,267988.33,9.54,96633
Campanha_7929,Filme_8737,16,4364.66,583281,Google Ads,16193.21,5.24,115912
Campanha_5223,Filme_702,10,5529.5,421997,Facebook,51320.29,9.96,31133
Campanha_2502,Filme_6085,14,41358.09,334911,Facebook,325834.58,3.31,55442
Campanha_1461,Filme_6647,0,33061.53,605300,Twitter,152133.91,3.43,118312
Campanha_8012,Filme_172,10,46731.85,637829,Instagram,151482.58,0.75,93936
Campanha_2850,Filme_4597,0,42924.39,52434,Facebook,55266.51,4.2,6967
Campanha_2526,Filme_9554,18,8678.21,540249,Google Ads,81493.34,8.98,51210
Campanha_7103,Filme_3415,14,12989.94,522597,LinkedIn,38135.56,1.09,61360
Campanha_5084,Filme_5830,0,20764.16,605427,Twitter,40743.95,0.61,92561
Campanha_5593,Filme_3741,14,44880.67,951417,Facebook,112955.34,8.81,75274
Campanha_8572,Filme_7248,0,6400.54,703744,Instagram,8359.71,2.78,96724
Campanha_6546,Filme_5855,10,36695.33,988214,LinkedIn,19237.34,0.46,10996
Campanha_354,Filme_9539,14,13600.6,654144,Instagram,22111.46,5.43,28297
Campanha_8658,Filme_5296,14,23400.32,385553,LinkedIn,28348.5,6.52,26089
Campanha_8588,Filme_7150,14,5492.93,397005,Twitter,29089.77,3.92,26130
Campanha_1190,Filme_8320,10,38568.56,99282,LinkedIn,86298.19,6.03,6057
Campanha_4887,Filme_5642,14,42772.19,727457,Instagram,307073.86,4.95,144918
Campanha_3284,Filme_108,10,25557.88,760859,Facebook,36085.05,8.35,113906
Campanha_5837,Filme_7737,0,48205.98,575022,Twitter,191809.11,6.19,88259
Campanha_2555,Filme_7068,18,4334.26,40093,Google Ads,41102.58,3.33,2370
Campanha_4621,Filme_7769,12,18044.95,924746,LinkedIn,129938.49,2.68,123299
Campanha_2707,Filme_5391,16,34166.64,511268,YouTube,287703.01,0.54,101120
Campanha_7280,Filme_7120,18,28455.75,820311,Google Ads,274492.88,8.48,157079
Campanha_6502,Filme_224,18,3253.81,18653,Instagram,20551.92,9.84,3066
Campanha_5001,Filme_8724,0,41525.09,19120,Google Ads,346440.95,6.82,2221
Campanha_6531,Filme_3075,12,30926.99,188354,Google Ads,264958.41,7.45,27156
Campanha_5730,Filme_3692,12,20600.17,308659,LinkedIn,170756.43,9.73,39878
Campanha_670,Filme_3775,18,48742.12,715185,Facebook,50078.89,7.43,78037
Campanha_4910,Filme_6623,16,34160.44,986196,YouTube,232732.84,7.38,158107
Campanha_4345,Filme_6450,14,33233.01,705266,Instagram,176498.58,0.42,23272
Campanha_8619,Filme_6445,0,24990.37,28978,YouTube,218551.37,9.58,1836
Campanha_3829,Filme_7089,0,42035.06,711917,Google Ads,148435.0,4.27,115165
Campanha_851,Filme_2476,18,44907.78,648626,LinkedIn,64607.87,6.38,128768
Campanha_6927,Filme_1314,14,10005.53,849954,Google Ads,28969.57,5.33,157787
Campanha_1839,Filme_1851,16,38157.24,11477,Facebook,200165.31,0.14,1090
Campanha_4412,Filme_5206,18,38157.46,147027,Instagram,319086.67,5.26,7953
Campanha_5278,Filme_1326,0,12018.3,722067,Facebook,101474.8,2.7,67717
Campanha_1714,Filme_4314,14,36439.24,539098,Instagram,172230.87,8.27,36526
Campanha_2025,Filme_6295,16,19757.68,833945,Facebook,15331.64,0.29,115904
Campanha_5854,Filme_1622,12,16469.27,539393,Twitter,42376.11,2.04,16765
Campanha_2617,Filme_3988,10,28695.56,229081,YouTube,174121.28,0.87,5032
Campanha_6611,Filme_212,0,18465.39,254400,Twitter,45115.15,2.01,45770
Campanha_6289,Filme_508,10,45915.93,311744,YouTube,324007.97,1.64,23520
Campanha_5533,Filme_3449,0,6277.4,822269,Facebook,41416.17,8.21,161109
Campanha_8567,Filme_1785,10,9771.98,928328,YouTube,53577.73,2.45,53756
Campanha_2873,Filme_6856,18,42336.07,694575,Instagram,50857.48,9.93,68739
Campanha_6002,Filme_6092,16,5197.87,789513,YouTube,27721.14,1.25,100494
Campanha_428,Filme_1347,16,26172.99,29484,LinkedIn,152852.72,7.02,4395
Campanha_6195,Filme_4505,0,4682.66,755455,YouTube,43660.63,4.55,147860
Campanha_2631,Filme_4523,12,39816.18,339498,Twitter,95858.84,8.16,66027
Campanha_3157,Filme_7304,18,2494.75,191583,Twitter,17227.79,4.51,12721
Campanha_3510,Filme_142,18,28045.73,498666,LinkedIn,79170.89,3.92,20765
Campanha_6590,Filme_3128,18,12839.54,813939,Twitter,77568.1,2.58,70563
Campanha_9957,Filme_5825,16,8272.99,423727,Google Ads,47834.69,9.82,47674
Campanha_4146,Filme_4902,14,2542.03,419924,Facebook,12144.66,5.75,17130
Campanha_3946,Filme_4286,14,44833.89,425948,Twitter,360865.77,8.13,57641
Campanha_2524,Filme_8361,18,17884.34,526665,LinkedIn,133901.42,4.4,45606
Campanha_4084,Filme_7076,0,8253.65,588106,YouTube,81326.84,7.41,52983
Campanha_7972,Filme_2260,18,32261.02,706890,Google Ads,81603.78,0.98,128442
Campanha_391,Filme_3443,14,19225.63,678584,Instagram,13410.28,4.29,53825
Campanha_394,Filme_5624,18,26988.26,862752,Facebook,183369.96,2.99,86550
Campanha_8203,Filme_9825,18,28451.1,335126,Facebook,143653.93,4.15,28190
Campanha_2595,Filme_5771,18,15236.31,120319,Google Ads,41250.2,6.93,18691
Campanha_7776,Filme_9417,16,34567.34,950042,YouTube,115851.22,1.35,11834
Campanha_2667,Filme_7014,10,34010.18,193072,YouTube,61238.41,8.77,37107
Campanha_8858,Filme_335,12,17679.09,115676,Twitter,76105.02,8.8,15360
Campanha_4744,Filme_9721,18,1794.42,482412,Google Ads,10318.36,6.97,81471
Campanha_9595,Filme_344,12,46785.45,485317,Google Ads,64042.61,8.17,91602
Campanha_6494,Filme_1738,10,7536.62,516469,Instagram,34773.1,3.93,31329
Campanha_4853,Filme_8754,0,34303.76,500932,YouTube,331254.33,0.74,28085
Campanha_4740,Filme_3569,10,17888.84,720013,YouTube,152611.25,6.64,43481
Campanha_3809,Filme_4119,16,33241.76,719595,Google Ads,58192.21,3.06,43372
Campanha_6391,Filme_43,12,12058.51,419176,LinkedIn,119270.97,3.62,51347
Campanha_3962,Filme_4506,18,45880.72,682158,YouTube,307861.85,3.89,97436
Campanha_9146,Filme_6029,10,39351.63,127628,LinkedIn,363772.69,2.34,1409
Campanha_1446,Filme_753,18,1488.1,524723,Instagram,2799.58,5.67,99274
Campanha_6692,Filme_611,18,15510.93,276079,Twitter,122574.61,0.66,6872
Campanha_9006,Filme_337,18,31514.7,75682,LinkedIn,92244.34,1.45,4530
Campanha_3614,Filme_873,18,29980.63,141159,Google Ads,40622.38,5.96,7009
Campanha_2060,Filme_3815,18,36823.9,454061,LinkedIn,313300.01,3.69,86752
Campanha_2995,Filme_6353,10,9983.59,290335,Instagram,60491.96,8.49,18515
Campanha_4722,Filme_2402,16,32823.14,59140,LinkedIn,273969.72,7.89,4719
Campanha_8969,Filme_4424,16,13062.1,76337,Twitter,85255.34,9.7,2636
Campanha_4407,Filme_8623,0,3704.71,515017,YouTube,7664.34,1.99,31361
Campanha_4966,Filme_9781,16,29272.59,96701,Google Ads,237711.55,0.13,11028
Campanha_4786,Filme_9563,12,48534.2,947905,Twitter,286720.6,0.39,132731
Campanha_929,Filme_1566,14,31604.83,197957,Facebook,100101.54,5.24,13881
Campanha_6295,Filme_5836,16,35584.3,121943,LinkedIn,296112.68,8.91,24097
Campanha_2547,Filme_379,12,34025.47,972801,Twitter,39026.71,4.92,63146
Campanha_8462,Filme_482,12,17645.4,927730,YouTube,95824.42,5.02,32221
Campanha_8646,Filme_2454,12,41261.4,235208,LinkedIn,52727.52,0.11,30205
Campanha_220,Filme_8347,12,39500.96,531339,Instagram,100376.06,8.15,10198
Campanha_8368,Filme_8600,0,39532.02,87285,Facebook,346053.01,6.35,16215
Campanha_3091,Filme_7265,16,29771.75,850352,Instagram,172840.09,5.02,150744
Campanha_640,Filme_9680,16,21897.72,734710,LinkedIn,203520.83,3.06,79479
Campanha_2936,Filme_5222,14,20509.22,959924,Facebook,159382.0,3.97,107001
Campanha_2504,Filme_9325,18,34601.03,24650,Facebook,63707.15,6.1,2045
Campanha_264,Filme_5317,12,39036.96,982179,Google Ads,152757.94,4.67,100263
Campanha_5090,Filme_3590,18,42804.56,549436,Instagram,70911.34,7.0,81925
Campanha_363,Filme_2598,16,42288.89,986720,Instagram,338064.29,4.32,181269
Campanha_5065,Filme_7349,10,43326.67,454014,YouTube,97090.12,7.23,35727
Campanha_6366,Filme_9878,0,15400.58,293245,Twitter,27918.67,9.51,43221
Campanha_5354,Filme_7064,12,3774.67,461611,Instagram,30510.51,3.88,49829
Campanha_2528,Filme_413,14,25819.02,980995,Instagram,92999.0,7.52,84062
Campanha_1931,Filme_3141,18,6536.42,799948,YouTube,50331.84,3.55,141714
Campanha_1596,Filme_5339,18,30194.69,743546,Google Ads,223826.54,8.57,19626
Campanha_9786,Filme_7745,0,45626.82,333772,LinkedIn,137404.28,9.3,46307
Campanha_9136,Filme_7667,14,42861.98,386412,Instagram,99207.04,2.81,63252
Campanha_4939,Filme_9856,0,34788.46,421758,Instagram,258143.91,0.71,21220
Campanha_3093,Filme_5374,0,46084.58,396003,Google Ads,358369.52,4.39,57345
Campanha_4036,Filme_1813,10,4017.82,244098,Facebook,10780.48,9.0,30303
Campanha_3869,Filme_3524,16,46607.92,818108,Facebook,355070.79,3.55,29671
Campanha_360,Filme_7699,10,24202.35,863512,Facebook,21088.49,4.05,63875
Campanha_2097,Filme_9572,16,28543.35,577800,Twitter,80048.87,1.61,94667
