nome,titulo,faixa_etaria,budget_total,expectativa_alcance,canal_marketing,roi,cpc,numero_conversoes
Campanha_3290,Filme_4219,0,42964.94,6873,Instagram,43504.59,1.99,96
Campanha_6644,Filme_1086,12,159168.67,18825,LinkedIn,107037.28,3.6,2594
Campanha_3673,Filme_6933,14,42214.87,5146,Twitter,81920.26,1.64,260
Campanha_736,Filme_2458,10,31763.44,5594,Google Ads,28655.28,4.3,288
Campanha_4976,Filme_6147,0,40178.97,6201,Instagram,18497.44,2.78,512
Campanha_9887,Filme_3991,12,76135.76,6966,LinkedIn,35870.06,3.44,165
Campanha_5624,Filme_2224,18,125623.4,12450,LinkedIn,76235.94,3.24,1075
Campanha_6116,Filme_9653,10,120229.25,25510,Google Ads,78904.59,2.75,4045
Campanha_2114,Filme_1292,12,120906.28,22462,YouTube,62949.26,4.19,2476
Campanha_2876,Filme_142,0,33987.07,5446,Facebook,35799.99,3.07,267
Campanha_4781,Filme_9125,0,141501.84,29290,YouTube,56403.6,4.12,1783
Campanha_2663,Filme_7632,12,51460.4,9343,YouTube,12546.28,3.85,886
Campanha_2343,Filme_7250,16,148065.69,28355,Google Ads,78711.6,3.52,4751
Campanha_7617,Filme_5508,0,50574.84,8827,Facebook,27140.0,2.94,997
Campanha_7091,Filme_1934,14,77186.63,16804,Google Ads,57515.87,3.61,925
Campanha_8698,Filme_6490,12,115430.37,12698,LinkedIn,39310.44,5.64,1906
Campanha_7172,Filme_5027,18,88076.3,15526,Instagram,62769.03,2.57,450
Campanha_5743,Filme_9057,14,41832.29,7045,Instagram,13690.54,2.51,340
Campanha_8268,Filme_2477,14,96971.18,16287,Instagram,116621.75,2.91,1196
Campanha_8822,Filme_8748,0,79576.69,7956,LinkedIn,31134.16,4.8,1062
Campanha_8372,Filme_3801,16,49370.53,4770,LinkedIn,6754.61,5.38,298
Campanha_447,Filme_9004,14,109375.48,10041,LinkedIn,41022.4,5.92,1272
Campanha_446,Filme_7743,12,98315.98,10027,LinkedIn,31503.25,5.88,181
Campanha_3131,Filme_7984,12,97044.8,14625,Facebook,101752.07,2.48,1976
Campanha_4969,Filme_8026,0,91629.68,11881,Instagram,66962.87,2.93,1781
Campanha_4060,Filme_2750,18,169677.11,41136,YouTube,131837.39,3.65,6855
Campanha_4193,Filme_6644,10,49552.38,6093,Twitter,36166.73,1.65,404
Campanha_3078,Filme_5507,16,20417.87,2876,Twitter,18315.12,1.55,453
Campanha_9076,Filme_1609,14,71190.67,12728,Google Ads,64560.26,3.43,2020
Campanha_6885,Filme_299,0,64947.26,6700,LinkedIn,34198.37,4.05,136
Campanha_8142,Filme_452,16,89767.97,16672,Facebook,100785.02,3.56,2517
Campanha_7350,Filme_6626,10,89156.56,20455,YouTube,54078.51,2.85,1099
Campanha_9348,Filme_6072,10,67091.04,12710,Google Ads,38326.21,3.42,2254
Campanha_8256,Filme_4473,14,86170.21,17608,Facebook,29155.9,2.62,3265
Campanha_6895,Filme_7747,18,75354.5,9398,Instagram,102820.16,1.92,1695
Campanha_1204,Filme_9703,12,89868.22,19881,Google Ads,42798.71,2.64,1007
Campanha_3962,Filme_650,16,32073.55,6391,Google Ads,10739.68,3.32,653
Campanha_7401,Filme_2592,12,123413.16,20821,Facebook,62033.33,2.17,2139
Campanha_8531,Filme_8896,12,47704.81,5657,LinkedIn,34414.98,4.18,68
Campanha_767,Filme_2548,16,147683.64,35104,YouTube,80852.73,2.96,5875
Campanha_8664,Filme_8476,10,49826.2,10009,YouTube,39546.46,4.4,1625
Campanha_9053,Filme_6665,18,59623.84,8460,Twitter,114521.47,1.25,452
Campanha_8233,Filme_3386,18,43769.82,6903,Instagram,45435.63,2.64,1061
Campanha_9771,Filme_3691,0,130520.4,31087,YouTube,37635.53,3.36,332
Campanha_5311,Filme_8193,18,72500.84,9541,Twitter,64257.16,1.69,1819
Campanha_2524,Filme_2124,12,74807.3,17538,YouTube,16347.8,3.42,3056
Campanha_564,Filme_4975,16,84712.76,12747,Facebook,21073.42,2.45,1501
Campanha_8367,Filme_1544,16,105939.62,23150,Google Ads,49655.09,4.25,3735
Campanha_6039,Filme_6591,14,37652.02,5150,Twitter,29668.6,1.56,523
Campanha_3071,Filme_6332,10,155205.64,18590,LinkedIn,68982.63,3.6,2275
Campanha_1526,Filme_6986,0,99193.62,16891,Instagram,122601.81,2.95,2326
Campanha_6731,Filme_5917,14,77743.32,11192,Instagram,98194.27,2.47,2001
Campanha_6038,Filme_589,18,31646.41,3941,Instagram,27205.14,1.72,631
Campanha_4847,Filme_9745,14,37319.88,4623,Instagram,13500.74,2.0,144
Campanha_8202,Filme_8035,16,127986.03,26561,YouTube,65809.54,3.63,1195
Campanha_703,Filme_8038,14,58442.69,7367,Twitter,104166.13,2.0,685
Campanha_9618,Filme_233,0,33767.55,3845,Twitter,33100.8,2.1,176
Campanha_8361,Filme_2192,10,39427.83,4619,Twitter,47945.72,1.84,685
Campanha_9701,Filme_3039,14,23425.9,3928,Instagram,23859.55,2.86,477
Campanha_7883,Filme_2081,14,49528.64,8220,Instagram,41109.08,1.98,1041
Campanha_9602,Filme_2730,16,132666.06,14917,LinkedIn,67925.55,3.8,1443
Campanha_9117,Filme_9463,12,107973.6,9871,LinkedIn,15859.23,3.72,730
Campanha_1713,Filme_3386,10,38732.9,6629,Facebook,13094.13,3.57,386
Campanha_2178,Filme_6753,16,110748.57,22588,Facebook,131559.87,3.01,1699
Campanha_9602,Filme_7951,12,187328.64,21839,LinkedIn,56221.37,5.93,3400
Campanha_905,Filme_8215,18,28967.01,4069,Instagram,21807.2,2.89,332
Campanha_975,Filme_6251,14,155340.65,30042,YouTube,77774.89,3.96,4119
Campanha_5829,Filme_2732,18,98711.23,10887,LinkedIn,17601.15,3.83,897
Campanha_2440,Filme_8981,0,39888.97,6852,Instagram,33656.24,2.07,343
Campanha_7836,Filme_9159,18,15748.86,2668,Instagram,5141.26,2.67,27
Campanha_2661,Filme_3431,12,69346.37,12799,YouTube,49852.83,3.29,2372
Campanha_3926,Filme_5382,0,98398.39,12338,Instagram,60175.55,2.96,2105
Campanha_4021,Filme_1054,12,96650.83,14383,Facebook,97846.92,3.22,569
Campanha_7694,Filme_7125,0,104468.98,20096,Google Ads,43661.0,3.57,2301
Campanha_1604,Filme_2445,18,68360.26,8747,Twitter,135706.87,2.23,180
Campanha_9762,Filme_8798,10,27922.09,5951,Google Ads,26551.2,2.9,816
Campanha_4146,Filme_5109,0,192504.04,17753,LinkedIn,47272.1,4.0,2515
Campanha_4148,Filme_8931,10,133450.02,25560,YouTube,114012.23,2.84,4768
Campanha_9931,Filme_2333,16,17253.73,3184,Google Ads,17188.97,3.86,89
Campanha_7067,Filme_2679,12,17692.15,4242,Google Ads,6256.8,2.88,655
Campanha_9001,Filme_2250,0,77648.95,12815,Instagram,92678.42,2.03,1040
Campanha_2585,Filme_7594,18,40080.31,4871,Instagram,33419.53,2.57,971
Campanha_5892,Filme_456,18,112024.38,29198,YouTube,41799.15,3.16,4799
Campanha_6330,Filme_2700,10,42446.5,7209,Instagram,48247.5,1.9,300
Campanha_69,Filme_8559,18,88480.27,16425,YouTube,38586.54,4.92,1606
Campanha_2290,Filme_4606,16,87873.89,15140,Instagram,66522.09,1.87,838
Campanha_6993,Filme_4251,18,103201.78,20011,Facebook,64097.89,3.0,2436
Campanha_2031,Filme_1466,16,46881.74,4559,Twitter,87367.99,1.4,54
Campanha_7674,Filme_5434,0,21612.85,3377,Facebook,4733.36,3.46,184
Campanha_9551,Filme_2820,14,23302.49,4728,Google Ads,11030.58,2.85,98
Campanha_294,Filme_4262,10,107380.4,24508,Google Ads,68375.06,2.63,2254
Campanha_8751,Filme_3217,18,67365.28,7783,Twitter,114462.87,1.56,1028
Campanha_5366,Filme_3246,14,24733.96,4778,Google Ads,16920.74,4.34,190
Campanha_8324,Filme_7893,10,101586.33,22757,YouTube,58619.02,4.99,950
Campanha_1821,Filme_5896,0,54452.16,5008,LinkedIn,21600.44,4.04,637
Campanha_4243,Filme_6933,14,137283.91,29964,Google Ads,100076.76,4.46,5497
Campanha_4769,Filme_7291,0,65998.66,7953,Instagram,37441.74,2.31,554
Campanha_2908,Filme_5505,10,49086.6,7041,Twitter,77247.23,1.92,415
Campanha_7921,Filme_5046,10,26604.62,3229,Instagram,21207.95,2.85,356
Campanha_6477,Filme_8867,0,66741.01,12008,Facebook,21934.28,2.55,1934
Campanha_5536,Filme_8947,14,61455.79,7547,Instagram,45013.41,2.48,487
Campanha_7217,Filme_7242,12,110636.04,19966,Facebook,25858.98,3.47,2072
Campanha_7190,Filme_5692,16,35600.52,5609,Instagram,31991.84,2.92,681
Campanha_182,Filme_4363,10,161300.6,28408,YouTube,106964.5,5.18,3705
Campanha_5091,Filme_6035,16,139284.47,24491,Google Ads,33582.77,3.39,4170
Campanha_8744,Filme_2136,14,164480.26,38855,YouTube,138560.38,4.33,1770
Campanha_2208,Filme_1918,0,63434.32,8842,Twitter,101159.49,1.6,1142
Campanha_8476,Filme_8465,18,123213.06,23528,Facebook,85695.31,2.76,2910
Campanha_7569,Filme_867,10,42961.9,6440,Instagram,38193.69,2.75,1063
Campanha_8647,Filme_8474,0,84778.92,15858,Facebook,58249.61,2.09,1260
Campanha_9460,Filme_1589,12,196074.32,21820,LinkedIn,119250.47,3.73,2951
Campanha_3698,Filme_2474,10,129882.26,11406,LinkedIn,50088.07,4.84,527
Campanha_1871,Filme_9406,16,71137.48,11781,Instagram,71786.9,1.64,709
Campanha_5598,Filme_2745,16,86257.1,10790,Instagram,86495.61,1.67,1499
Campanha_9782,Filme_4586,18,122774.82,24553,Google Ads,57497.74,3.86,2208
Campanha_28,Filme_1403,12,31327.48,4958,Instagram,29965.06,2.04,892
Campanha_3503,Filme_5963,14,25636.15,2768,Twitter,33268.58,1.84,312
Campanha_6478,Filme_4160,0,102618.74,20696,Facebook,63833.21,2.4,325
Campanha_8833,Filme_3370,18,32437.03,7310,Google Ads,27508.31,4.09,363
Campanha_537,Filme_1452,10,37970.36,5026,Twitter,63246.48,1.47,385
Campanha_2832,Filme_1549,10,95733.25,21567,Google Ads,29763.43,4.37,831
Campanha_2125,Filme_1642,16,149240.34,32482,Google Ads,137715.45,3.06,3382
Campanha_5153,Filme_4306,14,124402.29,21102,Facebook,98647.23,2.34,3338
Campanha_5709,Filme_9535,18,195448.53,17457,LinkedIn,46083.63,5.9,1387
Campanha_5879,Filme_2391,12,47519.24,4748,Twitter,66878.22,1.24,598
Campanha_793,Filme_5130,12,141492.23,29349,Google Ads,128801.99,3.62,3549
Campanha_1062,Filme_461,10,75660.73,13251,Google Ads,26301.56,2.4,222
Campanha_2338,Filme_2161,18,106393.62,17747,Google Ads,63679.99,3.61,2112
Campanha_8839,Filme_2168,12,16972.67,2071,Instagram,24336.24,2.62,322
Campanha_2848,Filme_8523,10,69940.27,11993,Instagram,66854.93,1.88,491
Campanha_4407,Filme_4321,0,61394.12,6652,Twitter,52329.43,2.12,694
Campanha_1689,Filme_9003,10,63955.9,5983,LinkedIn,38047.36,4.29,375
Campanha_1462,Filme_9572,18,51110.12,7327,Twitter,54881.78,2.14,486
Campanha_5892,Filme_6473,10,21433.83,2115,Twitter,41507.13,1.51,36
Campanha_9887,Filme_8582,14,73321.58,15790,YouTube,26536.64,5.1,964
Campanha_5492,Filme_4162,14,44271.78,7299,Facebook,16616.84,2.25,892
Campanha_4314,Filme_9398,12,96666.9,10413,LinkedIn,64594.02,4.37,262
Campanha_5647,Filme_723,10,71675.69,8845,Twitter,89548.49,2.13,1288
Campanha_5868,Filme_2990,10,186953.06,18306,LinkedIn,55662.29,5.48,3398
Campanha_6825,Filme_6796,10,98574.1,11675,LinkedIn,69750.34,5.64,1371
Campanha_4831,Filme_2143,18,134186.97,32939,YouTube,70917.93,4.14,3925
Campanha_1926,Filme_1125,16,55998.14,9922,Facebook,37174.09,2.53,711
Campanha_1942,Filme_7095,16,73563.09,9084,Twitter,47254.75,1.9,1314
Campanha_8889,Filme_8846,18,66790.62,13437,Facebook,57796.43,3.28,713
Campanha_3992,Filme_8270,18,117124.27,21228,Facebook,83043.6,3.38,763
Campanha_2345,Filme_4162,10,76909.66,11793,Instagram,78850.9,2.1,1610
Campanha_178,Filme_8085,14,55022.77,10510,YouTube,9348.07,4.09,2051
Campanha_6492,Filme_6891,14,40182.77,4203,LinkedIn,27543.97,5.32,229
Campanha_777,Filme_7049,12,97493.77,8188,LinkedIn,31099.94,3.93,520
Campanha_1820,Filme_6796,0,69822.4,8873,Twitter,25622.76,1.58,98
Campanha_6740,Filme_1999,10,103851.8,26175,YouTube,73929.17,5.04,4760
Campanha_1953,Filme_44,12,55931.91,7381,Instagram,60102.02,2.4,285
Campanha_7443,Filme_3737,10,51564.13,6548,Twitter,21319.4,2.14,288
Campanha_2342,Filme_9454,0,42135.0,4886,LinkedIn,17741.35,5.01,888
Campanha_9496,Filme_3144,14,93190.87,23794,YouTube,47685.36,3.14,980
Campanha_9289,Filme_4948,14,45614.66,6414,Instagram,63358.18,2.8,837
Campanha_6352,Filme_8773,18,34050.95,4514,Twitter,12695.66,1.96,571
Campanha_3782,Filme_1002,16,57161.89,9807,Instagram,16741.04,1.72,1305
Campanha_3727,Filme_8547,10,94707.55,22347,YouTube,77865.33,3.66,2725
Campanha_7569,Filme_2016,18,103327.93,24073,YouTube,80726.88,4.0,780
Campanha_4645,Filme_371,0,99750.83,17928,Instagram,73636.81,2.14,1600
Campanha_980,Filme_1265,12,81004.62,16552,Google Ads,80126.59,4.03,480
Campanha_922,Filme_8069,16,35978.9,4030,LinkedIn,10045.54,3.51,694
Campanha_2373,Filme_3643,12,166355.26,31726,YouTube,51578.01,3.76,5325
Campanha_1539,Filme_5202,14,98314.61,11965,Instagram,103922.24,2.89,1456
Campanha_1559,Filme_76,0,103824.17,21608,Google Ads,80988.27,3.89,1713
Campanha_4425,Filme_502,10,152177.48,36564,YouTube,95667.0,4.43,1347
Campanha_4748,Filme_5411,14,124669.2,29731,YouTube,95392.15,4.46,3619
Campanha_1577,Filme_659,18,99465.9,25977,YouTube,50285.14,5.24,5174
Campanha_9162,Filme_6078,14,132845.78,12928,LinkedIn,51467.12,4.33,273
Campanha_1000,Filme_1661,0,70457.82,15283,YouTube,25442.1,4.8,1062
Campanha_6834,Filme_752,12,25030.97,3414,Instagram,16705.4,2.59,192
Campanha_6503,Filme_4727,18,96237.71,20263,YouTube,78942.5,3.61,3245
Campanha_8003,Filme_7472,16,156985.39,12673,LinkedIn,55830.23,5.19,197
Campanha_5801,Filme_6564,14,59587.51,13426,YouTube,27919.32,3.72,2402
Campanha_4514,Filme_486,12,75491.28,18987,YouTube,23515.61,4.91,457
Campanha_166,Filme_8538,18,85861.78,11240,Instagram,111237.48,2.03,915
Campanha_1024,Filme_4983,14,126863.76,12773,LinkedIn,78814.59,5.95,1895
Campanha_4477,Filme_4797,0,149979.46,16426,LinkedIn,71276.75,3.5,1224
Campanha_8475,Filme_6771,16,147644.34,34929,Google Ads,30485.81,2.93,2507
Campanha_4960,Filme_2115,16,131828.11,32992,YouTube,96337.79,4.88,1752
Campanha_7792,Filme_1059,18,114219.36,21310,Facebook,128768.03,2.37,3022
Campanha_2694,Filme_7246,18,80589.35,14068,Facebook,96568.41,2.22,2313
Campanha_1008,Filme_624,12,138197.08,28927,Google Ads,91271.84,3.17,2723
Campanha_2521,Filme_426,10,74042.19,7736,Twitter,131497.52,1.24,132
Campanha_4722,Filme_4474,18,59600.45,6523,Twitter,44854.97,1.87,819
Campanha_4642,Filme_4806,12,29864.31,2987,Twitter,51317.88,1.83,121
Campanha_6687,Filme_8574,12,32873.48,4709,Twitter,62154.64,1.79,351
Campanha_5128,Filme_6894,16,52755.81,9835,Facebook,19026.37,3.24,1935
Campanha_1461,Filme_1684,12,126050.73,24841,Google Ads,120625.38,3.1,316
Campanha_5229,Filme_8938,10,63703.14,10116,Instagram,56143.05,2.83,770
Campanha_7897,Filme_5067,0,136510.39,29163,YouTube,91325.03,4.75,5213
Campanha_6958,Filme_6700,0,27452.95,3467,Instagram,12145.37,2.47,430
Campanha_1511,Filme_8467,16,49412.44,11234,YouTube,7467.78,3.94,905
Campanha_876,Filme_8853,0,75191.45,13586,Google Ads,43876.9,3.76,732
Campanha_5942,Filme_3906,10,36680.92,6752,Facebook,28607.4,2.09,476
Campanha_7602,Filme_1796,12,85292.56,19391,Google Ads,73539.45,3.36,1376
Campanha_2152,Filme_2833,14,42821.48,7403,Facebook,37146.12,3.07,465
Campanha_5104,Filme_7047,0,122172.56,18615,Facebook,102683.49,2.51,3460
Campanha_6315,Filme_1833,16,125492.5,26940,YouTube,51868.81,4.06,3939
Campanha_6463,Filme_321,12,58921.39,13126,YouTube,41059.74,4.77,1470
Campanha_8718,Filme_4927,12,69836.52,13714,Facebook,57867.97,2.74,1527
Campanha_9382,Filme_7338,10,113566.25,22457,Facebook,41278.16,3.65,1332
Campanha_2286,Filme_7267,14,106347.12,19200,Facebook,81753.45,2.92,2551
Campanha_8053,Filme_2129,12,57882.5,9319,Google Ads,34586.67,3.31,1400
Campanha_5863,Filme_8735,14,51484.56,9636,Google Ads,27035.53,2.43,523
Campanha_3009,Filme_2340,16,107844.04,21461,Google Ads,24808.49,3.69,622
Campanha_7127,Filme_7516,12,36697.72,6826,YouTube,11404.32,4.7,661
Campanha_4564,Filme_8506,14,33980.5,4771,Instagram,14483.88,1.7,583
Campanha_1261,Filme_5296,14,95306.98,14525,Facebook,41941.2,2.95,1147
Campanha_4787,Filme_9240,14,38362.64,8970,Google Ads,27878.28,3.6,602
Campanha_864,Filme_9534,0,14553.78,2524,Facebook,13922.98,2.18,382
Campanha_4277,Filme_3865,0,110509.84,10180,LinkedIn,34033.68,4.86,136
Campanha_5192,Filme_5381,10,25630.67,3963,Instagram,22457.87,1.97,550
Campanha_4800,Filme_8691,0,87879.53,19630,YouTube,65961.04,4.71,2199
Campanha_9343,Filme_8570,0,18110.39,2158,Twitter,26213.85,2.05,284
Campanha_615,Filme_7096,10,143016.79,35421,YouTube,71538.33,5.07,6282
Campanha_3995,Filme_1094,0,95908.87,18329,Google Ads,43578.29,2.64,3658
Campanha_5919,Filme_2040,16,57816.73,13739,YouTube,34254.5,2.83,715
Campanha_7064,Filme_946,14,84165.04,10429,Instagram,104548.5,2.03,547
Campanha_330,Filme_133,18,44257.59,5024,LinkedIn,10840.66,4.27,86
Campanha_2062,Filme_6611,10,154030.32,34403,YouTube,89482.98,3.22,4510
Campanha_2414,Filme_5911,14,129329.33,23852,Google Ads,68721.22,4.46,3998
Campanha_4118,Filme_8915,12,128248.72,28812,YouTube,22995.92,4.75,4390
Campanha_4211,Filme_7253,14,49326.56,8797,Instagram,39950.71,2.27,722
Campanha_3574,Filme_7040,16,83850.87,9029,LinkedIn,56662.72,4.51,1141
Campanha_8752,Filme_2307,10,178464.71,16786,LinkedIn,102703.52,5.64,2433
Campanha_1643,Filme_2114,14,20803.77,2356,Twitter,28525.83,1.23,113
Campanha_4488,Filme_173,18,86582.58,14332,Facebook,27477.41,2.4,1186
Campanha_3760,Filme_7536,10,25540.29,3592,Twitter,38683.98,2.21,519
Campanha_9727,Filme_7505,10,83713.48,16664,YouTube,69833.99,3.33,1570
Campanha_9095,Filme_202,12,76082.26,6684,LinkedIn,28049.56,4.85,728
Campanha_7953,Filme_1276,0,45621.93,7785,Google Ads,32138.52,4.13,401
Campanha_6143,Filme_9955,0,60815.06,10455,Facebook,59645.97,2.69,1052
Campanha_415,Filme_4733,10,46874.17,6122,Twitter,27013.91,2.18,1001
Campanha_9256,Filme_7996,18,13297.19,1943,Instagram,10251.08,1.81,29
Campanha_6437,Filme_7584,18,24723.47,3520,Instagram,23056.34,2.4,302
Campanha_7888,Filme_8989,10,47307.72,9535,Facebook,48857.38,3.47,757
Campanha_5161,Filme_1914,0,25761.59,3582,Instagram,19329.36,2.49,577
Campanha_2574,Filme_4841,16,113763.05,26108,YouTube,51614.21,5.16,4349
Campanha_1775,Filme_3324,0,24468.48,2846,Twitter,9901.86,1.62,372
Campanha_4130,Filme_1030,18,86550.53,14426,Facebook,75082.94,2.93,2372
Campanha_6450,Filme_4923,16,48611.26,5000,Twitter,82396.3,1.79,510
